1, 젤다의 전설 야생의 숨결, Nintendo, 2018-02-01, Nintendo Switch, 오픈에어 어드벤처, -, -
2, 어쌔신 크리드, 유비소프트 몬트리올, 2007-11-13, PS3, PC, 잠입 액션 어드벤처, -
3, 파이어 엠블렘 풍화설월, Nintendo, 2019-07-26, Nintendo Switch, SRPG, 쿠라하나 치나츠, O
